S. No.,Entity,Logo,HQ,Domain,Description,Category,Sub Category,Tools/Products
122,Stenomatic,https://eptl.vercel.app/logos/stenomatic-ai.png,Singapore,https://www.stenomatic.ai/,AI-powered real-time translation and interpretation platform supporting 70+ languages and video calls,Strategy & Creative Production,Creative AI & Content Production,
123,NemoVote,https://eptl.vercel.app/logos/nemovote-com.png,Germany,https://nemovote.com/,"Secure online voting software for associations, unions, NGOs and political parties",Participation & Election Tech,Voting & Election Systems,
124,Ipsos,https://eptl.vercel.app/logos/ipsos-com.png,France,https://www.ipsos.com/en-us,"Global market-research & public-opinion polling firm; provides data and insights across society, markets and politics",Research & Intelligence,Public Opinion & Polling,
125,Conversation Starter BV,https://eptl.vercel.app/logos/conversationstarter-net.png,Belgium,https://www.conversationstarter.net/,"Platform for event networking: scheduling meetings, community building, agendas for participants",Organisational Infrastructure,"Operations, Compliance & GDPR",
126,Logically,https://eptl.vercel.app/logos/logically-ai.png,United Kingdom,https://logically.ai/,"AI‐driven narrative intelligence and disinformation monitoring: predictive modelling, network detection, multi-language monitoring across 50+ languages",Digital Comms & Advertising,Information Integrity & Defense,
127,Gerulata Technologies,https://eptl.vercel.app/logos/gerulata-com.png,Slovakia,https://www.gerulata.com/,"AI-powered monitoring & analysis platform to detect disinformation, hostile propaganda, networks of influence",Digital Comms & Advertising,Information Integrity & Defense,Juno/Sentinel
128,Snapchat,https://eptl.vercel.app/logos/snapchat-com.png,United States,https://www.snapchat.com/,"Multimedia messaging & social platform (Stories, Lenses, chat, ads) used by individuals, brands, institutions and campaigns; offers political ads & civic Lenses",Digital Comms & Advertising,Social Media & Management,
129,Cosmonauts & Kings GmbH,https://eptl.vercel.app/logos/cosmonautsandkings-com.png,Germany,https://cosmonautsandkings.com,"Digital political-communications & campaign consultancy: data-driven strategy, creative, performance marketing, AI services for parties, institutions & NGO",Strategy & Creative Production,Strategic Advisory & Agencies,
130,DatastrategIA,https://eptl.vercel.app/logos/datastrategia-com.png,Spain,https://www.datastrategia.com/,"Political and public communication consultancy focused on digital strategy, campaigns and media for candidates, office-holders and institutions",Strategy & Creative Production,Strategic Advisory & Agencies,
131,Mollie B.V.,https://eptl.vercel.app/logos/mollie-com.png,Netherlands,https://www.mollie.com/,"Payment service provider offering online/offline payments, e‑money accounts and money-management tools for European businesses",Fundraising & Payments,Fundraising & Payment Systems,
132,Lumi Global,https://eptl.vercel.app/logos/lumiglobal-com.png,United Kingdom,https://www.lumiglobal.com/,"Secure digital/hybrid meetings, AGMs, member meetings, verifiable voting",Participation & Election Tech,Voting & Election Systems,Assembly Voting/Electa
133,Stack Data Strategy,https://eptl.vercel.app/logos/stackdatastrategy-com.png,United Kingdom,https://www.stackdatastrategy.com/,"Polling, MRP modeling, opinion research, campaign advisory for politics",Research & Intelligence,Public Opinion & Polling,
134,FourOneOne,https://eptl.vercel.app/logos/fouroneone-co-uk.png,United Kingdom,https://www.fouroneone.co.uk/,"Progressive digital campaigns, social organising, digital ads, fundraising, research & insights for politics",Strategy & Creative Production,Strategic Advisory & Agencies,
135,GovernLens,https://eptl.vercel.app/logos/governlens-com.png,Germany,https://www.governlens.com/,"AI political intelligence: monitoring political signals, transparency, EU/Germany tracking",Research & Intelligence,Legislative & Policy Tracking,
136,Common Consultancy,https://eptl.vercel.app/logos/commonconsultancy-com.png,Denmark,https://www.commonconsultancy.com/,"Social media insights, narrative shaping, disinformation monitoring for politics & elections",Strategy & Creative Production,Strategic Advisory & Agencies,
137,Majoritas Academy,https://eptl.vercel.app/logos/majoritas-academy.png,Romania,https://www.majoritas.academy/,"Online campaign training: strategies, grassroots, leadership, simulations",Strategy & Creative Production,Campaign Training & Education,
